groups,times
M30,2:12:11
M29,2:14:12
M32,2:14:35
M24,2:16:54
M27,2:17:11
M46,2:17:28
M32,2:17:47
M28,2:18:39
M27,2:19:08
M26,2:19:11
M29,2:19:20
M30,2:19:32
M33,2:19:37
M27,2:19:55
M28,2:20:08
M27,2:20:15
M38,2:20:20
M26,2:20:21
M34,2:20:24
M35,2:20:29
M27,2:20:37
M32,2:20:38
M21,2:20:40
M29,2:21:04
M26,2:21:24
M27,2:21:42
M30,2:21:45
M36,2:21:53
M23,2:22:24
M28,2:22:59
M23,2:23:26
M23,2:23:33
M26,2:23:45
M22,2:23:51
M31,2:23:56
M38,2:23:59
M21,2:24:14
M23,2:24:16
M28,2:24:27
M27,2:24:45
M30,2:24:58
M27,2:24:59
M31,2:25:11
M42,2:25:23
M35,2:25:41
M23,2:25:52
M36,2:25:53
M32,2:26:01
M29,2:26:04
M29,2:26:42
M24,2:26:45
M31,2:26:50
M27,2:26:57
M22,2:27:04
M27,2:27:05
M37,2:27:08
M26,2:27:08
M25,2:27:16
M36,2:27:19
M28,2:27:33
M33,2:27:46
M31,2:28:03
M38,2:28:06
M28,2:28:09
M26,2:28:23
M35,2:28:30
M23,2:28:35
M31,2:28:36
M20,2:28:37
M29,2:28:52
M29,2:28:52
M33,2:29:23
M27,2:29:32
M27,2:29:45
M20,2:29:46
M27,2:29:58
M31,2:30:01
M35,2:30:26
M24,2:30:27
M37,2:30:35
M26,2:30:55
M34,2:30:56
M26,2:31:01
M22,2:31:03
M36,2:31:13
M21,2:31:15
M23,2:31:26
M28,2:31:31
M27,2:31:31
M26,2:31:33
M19,2:31:35
M29,2:31:38
M28,2:31:49
M25,2:32:03
M24,2:32:07
M28,2:32:10
M28,2:32:13
M31,2:32:17
M25,2:32:19
M24,2:32:21
F25,2:32:29
M26,2:32:33
M22,2:32:38
M32,2:32:40
M19,2:32:43
M30,2:32:48
M22,2:32:53
M26,2:32:57
M25,2:32:59
M27,2:33:03
M27,2:33:12
M30,2:33:14
M24,2:33:19
M22,2:33:22
M40,2:33:41
M27,2:33:48
M29,2:33:55
M23,2:33:59
M28,2:34:00
M28,2:34:13
M26,2:34:28
M31,2:34:32
M32,2:34:52
M29,2:34:59
M43,2:35:01
M28,2:35:07
M28,2:35:12
M29,2:35:15
M42,2:35:34
M23,2:35:37
M23,2:35:55
M33,2:36:06
M54,2:36:08
M31,2:36:21
M24,2:36:27
M24,2:36:33
M33,2:36:36
M25,2:36:39
M42,2:36:44
M30,2:36:49
M27,2:36:52
M25,2:36:53
M31,2:37:05
M32,2:37:08
M33,2:37:15
M43,2:37:19
M23,2:37:27
M22,2:37:32
M36,2:37:33
M29,2:37:38
M25,2:37:53
M34,2:37:55
M27,2:37:55
M25,2:38:00
M25,2:38:00
M32,2:38:01
M27,2:38:25
M34,2:38:25
M34,2:38:30
M27,2:38:37
M22,2:38:40
M27,2:38:43
M23,2:38:45
M32,2:38:46
M37,2:38:49
M30,2:38:58
M30,2:39:00
M29,2:39:01
M23,2:39:02
M28,2:39:04
M29,2:39:06
M30,2:39:07
M23,2:39:08
M31,2:39:12
M20,2:39:15
M26,2:39:23
M33,2:39:23
M29,2:39:26
M36,2:39:39
M41,2:39:39
M30,2:39:46
M26,2:39:47
M29,2:39:48
M34,2:40:04
M45,2:40:08
M34,2:40:22
M38,2:40:25
M21,2:40:35
M24,2:40:40
M24,2:40:43
M26,2:40:54
M25,2:40:58
M27,2:40:59
M34,2:41:10
M35,2:41:19
M23,2:41:21
M35,2:41:21
M31,2:41:24
M26,2:41:28
M35,2:41:32
M31,2:41:35
M32,2:41:37
M32,2:41:41
M27,2:41:45
M29,2:41:48
F24,2:41:49
M34,2:41:55
M33,2:42:00
M24,2:42:02
M32,2:42:07
M26,2:42:09
M30,2:42:11
M25,2:42:14
M39,2:42:15
M35,2:42:16
M26,2:42:17
M31,2:42:21
M31,2:42:23
M32,2:42:25
M31,2:42:26
M28,2:42:28
M31,2:42:33
M26,2:42:34
M27,2:42:35
M24,2:42:35
M51,2:42:39
M32,2:42:45
M30,2:42:46
M25,2:42:52
M24,2:42:53
M20,2:42:55
M29,2:42:59
M29,2:43:00
M26,2:43:01
M33,2:43:05
M32,2:43:14
M37,2:43:15
M28,2:43:16
M27,2:43:20
M26,2:43:21
M31,2:43:26
M32,2:43:28
M21,2:43:29
M29,2:43:31
M22,2:43:34
M25,2:43:34
M34,2:43:35
M36,2:43:37
M27,2:43:41
M18,2:43:41
M35,2:43:48
M28,2:43:49
M38,2:43:56
M32,2:43:58
M30,2:44:00
M28,2:44:08
M33,2:44:10
M28,2:44:11
M27,2:44:13
M23,2:44:14
M42,2:44:14
M38,2:44:20
M36,2:44:26
M24,2:44:28
M33,2:44:30
M28,2:44:35
M31,2:44:36
M34,2:44:36
M24,2:44:38
M26,2:44:39
M26,2:44:40
